Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240402083730-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VALCCG:D06_L07:PRES,5.49e-08,1.00e-08,9.04e+02,5.774e-08,2.65e-07,2.65e-07,1.39e-07,1.49e-07,1.06e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.25e-11,4.70e-13,5.39e-08,0.00e+00,1.48e-12,5.01e-08,1.71e-08,6.20e-08,0.00e+00
20240402083730-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VALCCG:D07_L00:PRES,9.33e-08,1.44e-08,9.04e+02,5.186e-08,6.36e-07,6.36e-07,3.95e-07,4.63e-07,3.18e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.23e-10,1.10e-12,1.29e-07,2.28e-10,1.97e-12,1.51e-07,2.08e-08,6.03e-08,0.00e+00
20240402083730-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VALCCG:D07_L02:PRES,8.18e-08,1.00e-08,9.04e+02,2.440e-08,5.12e-07,5.12e-07,3.17e-07,3.71e-07,2.49e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.07e-10,8.21e-13,8.46e-08,2.75e-10,1.16e-12,9.51e-08,1.19e-08,3.46e-08,0.00e+00
20240402083730-20240402172706,20240325000000-20240328000000,2024-04-02 17:25:06,VALCCG:D07_L09:PRES,6.48e-07,1.87e-08,9.04e+02,2.328e-07,3.03e-06,3.03e-06,7.73e-07,6.36e-07,3.96e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.95e-12,1.58e-07,0.00e+00,1.16e-11,7.75e-08,3.25e-07,1.59e-06,0.00e+00
20240402172730-20240402192409,20240325000000-20240328000000,2024-04-02 19:22:09,VALCCG:D01_L22:PRES,8.34e-08,1.00e-08,8.05e+02,3.562e-08,2.24e-07,2.24e-07,1.98e-07,1.20e-07,1.14e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,3.34e-11,9.88e-15,1.74e-07,1.00e-08,2.88e-08,0.00e+00
20240402172730-20240402192409,20240325000000-20240328000000,2024-04-02 19:22:09,VALCCG:D05_L25:PRES,6.66e-08,1.38e-08,8.05e+02,7.969e-08,2.71e-07,2.71e-07,2.05e-07,1.91e-07,1.50e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.03e-12,3.71e-08,0.00e+00,9.19e-13,1.54e-07,2.00e-08,4.72e-08,0.00e+00
20240402172730-20240402192409,20240325000000-20240328000000,2024-04-02 19:22:09,VALCCG:D05_L26:PRES,7.13e-08,1.02e-08,8.05e+02,4.776e-08,8.42e-07,8.42e-07,2.38e-07,2.28e-07,1.92e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.81e-12,9.08e-08,0.00e+00,7.35e-13,1.97e-07,4.44e-08,5.91e-07,0.00e+00
20240402172730-20240402192409,20240325000000-20240328000000,2024-04-02 19:22:09,VALCCG:D07_L0:PRES,4.36e-08,1.00e-08,8.05e+02,2.462e-08,1.55e-07,1.55e-07,1.27e-07,1.00e-07,8.43e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.63e-11,4.15e-13,7.60e-09,6.01e-11,3.71e-13,6.43e-08,1.00e-08,1.80e-08,0.00e+00
20240402172730-20240402192409,20240325000000-20240328000000,2024-04-02 19:22:09,VALCCG:D07_L00:PRES,1.38e-07,1.44e-08,8.05e+02,5.186e-08,5.71e-07,5.71e-07,4.82e-07,3.92e-07,3.46e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.23e-10,1.10e-12,1.29e-07,1.64e-10,1.47e-12,2.85e-07,2.48e-08,5.46e-08,0.00e+00
20240402172730-20240402192409,20240325000000-20240328000000,2024-04-02 19:22:09,VALCCG:D07_L02:PRES,8.70e-08,1.00e-08,8.05e+02,2.440e-08,4.40e-07,4.40e-07,3.60e-07,3.14e-07,2.76e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.07e-10,8.21e-13,8.46e-08,1.46e-10,1.58e-12,1.70e-07,1.68e-08,4.02e-08,0.00e+00
